"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1614","has title","chromium","Mon Sep 29 11:43:11 IST 2025","failed","Mon Sep 29 11:43:13 IST 2025","","example.spec.js","",""
"","1707","@sanity has title","chromium","Mon Sep 29 11:43:11 IST 2025","failed","Mon Sep 29 11:43:13 IST 2025","","basic\basic.spec.js","",""
"","782","@sanity Add to cart","chromium","Mon Sep 29 11:43:18 IST 2025","failed","Mon Sep 29 11:43:18 IST 2025","","UtilsExamples\reportTest.spec.js","",""
"","785","@sanity Add to cart","chromium","Mon Sep 29 11:43:18 IST 2025","failed","Mon Sep 29 11:43:18 IST 2025","","UtilsExamples\ReportScreenshot.spec.js","",""
"","1481","New browser setup","chromium","Mon Sep 29 11:43:11 IST 2025","failed","Mon Sep 29 11:43:13 IST 2025","","basic\NewBrowser.spec.js","",""
"","588","Login Functionality works","chromium","Mon Sep 29 11:43:18 IST 2025","failed","Mon Sep 29 11:43:18 IST 2025","SwagLabs Demo - WaitUtils Example","UtilsExamples\UsingWait.spec.js","",""
"","1768","Get title","chromium","Mon Sep 29 11:43:11 IST 2025","failed","Mon Sep 29 11:43:13 IST 2025","","basic\title.spec.js","",""
"","703","Login Page should be visible","chromium","Mon Sep 29 11:43:18 IST 2025","failed","Mon Sep 29 11:43:18 IST 2025","SwagLabs Demo - WaitUtils Example","UtilsExamples\UsingWait.spec.js","",""
"","1596","get started link","chromium","Mon Sep 29 11:43:11 IST 2025","failed","Mon Sep 29 11:43:13 IST 2025","","example.spec.js","",""
"","786","Login Page Title Test","chromium","Mon Sep 29 11:43:18 IST 2025","failed","Mon Sep 29 11:43:18 IST 2025","SwagLab Demo","UtilsExamples\UsingReport.spec.js","",""
"","1765","@sanity has add to cart","chromium","Mon Sep 29 11:43:11 IST 2025","failed","Mon Sep 29 11:43:13 IST 2025","","swagLab\TC02AddToCart.spec.js","",""
"","1767","Normal test","chromium","Mon Sep 29 11:43:11 IST 2025","failed","Mon Sep 29 11:43:13 IST 2025","","basic\NewBrowser.spec.js","",""
"","2","Generate Random Data","chromium","Mon Sep 29 11:43:16 IST 2025","skipped","Mon Sep 29 11:43:16 IST 2025","","UtilsExamples\RandomDataGen.spec.js","",""
"","117","Write test data to Excel","chromium","Mon Sep 29 11:43:19 IST 2025","passed","Mon Sep 29 11:43:19 IST 2025","","UtilsExamples\ExcelReadandWrite.spec.js","",""
"","7","Generate Random Dates in different formats","chromium","Mon Sep 29 11:43:18 IST 2025","passed","Mon Sep 29 11:43:18 IST 2025","","UtilsExamples\RandomDataGen.spec.js","",""
"","55","Print one cell from Excel","chromium","Mon Sep 29 11:43:19 IST 2025","passed","Mon Sep 29 11:43:19 IST 2025","","UtilsExamples\ExcelReadandWrite.spec.js","",""
"","526","Login Functionality Test","chromium","Mon Sep 29 11:43:18 IST 2025","failed","Mon Sep 29 11:43:18 IST 2025","SwagLab Demo","UtilsExamples\UsingReport.spec.js","",""
"","1623","@sanity has login","chromium","Mon Sep 29 11:43:11 IST 2025","failed","Mon Sep 29 11:43:13 IST 2025","","swagLab\TC01Login.spec.js","",""
